name,total_prisoner_cases,as_of_date,Prison_MR,State_MR
Alabama,1033,12/9/2020,230.0326325,26.48347608
Alaska,1217,12/8/2020,65.41648495,2.460549195
Arizona,4293,12/8/2020,82.55933953,40.0894828
Arkansas,,,,12.39311764
California,24782,12/8/2020,98.482522,19.9634427
Colorado,5754,12/8/2020,95.41334424,30.60093962
Connecticut,2382,12/8/2020,106.974754,123.580514
Delaware,,,,53.91450084
Florida,17037,12/9/2020,230.030549,24.23905275
Georgia,2406,12/8/2020,169.3060517,30.64773816
Hawaii,1296,12/8/2020,23.90057361,1.695068481
Idaho,2934,12/8/2020,80.04268943,7.050666876
Illinois,5219,12/8/2020,163.1268148,59.32059804
Indiana,2604,12/8/2020,165.2687683,42.27432292
Iowa,3666,12/8/2020,148.3479434,25.5461844
Kansas,5111,12/10/2020,130.7344901,10.8467539
Kentucky,2895,12/8/2020,234.3292326,15.08615335
Louisiana,2592,12/8/2020,219.3292769,75.24533788
Maine,150,12/8/2020,0,8.77837722
Maryland,2173,12/7/2020,76.58643326,56.27158566
Massachusetts,1514,12/9/2020,133.7494427,122.5969724
Michigan,17180,12/8/2020,275.3852464,63.90398901
Minnesota,3292,12/8/2020,79.20792079,28.15786562
Mississippi,,,,46.67105041
Missouri,4914,12/9/2020,157.0858453,18.70490375
Montana,1053,12/8/2020,106.7805659,3.742592007
Nebraska,786,12/11/2020,111.1111111,16.02557475
Nevada,1131,12/8/2020,0,21.94694035
New Hampshire,,12/9/2020,0,29.41801603
New Jersey,3393,12/8/2020,351.7316017,177.1747933
New Mexico,1786,12/8/2020,232.2109803,28.04234394
New York,1959,12/10/2020,50.02362227,167.1673376
North Carolina,6059,12/8/2020,91.33313762,16.25654564
North Dakota,512,12/8/2020,83.96305626,12.33495437
Ohio,8031,12/8/2020,260.1188474,27.53847602
Oklahoma,6360,12/8/2020,161.4540087,11.65032841
Oregon,1507,12/8/2020,136.8925394,6.377827731
Pennsylvania,3228,12/8/2020,96.05917245,55.07737899
Rhode Island,,,,94.01894161
South Carolina,2418,12/9/2020,204.8544292,23.71465962
South Dakota,2287,12/8/2020,124.8049922,13.33847279
Tennessee,6075,12/9/2020,143.1053869,12.75410467
Texas,26807,12/8/2020,136.6869378,14.5332899
Utah,1906,12/8/2020,154.532967,7.829173058
Vermont,241,12/8/2020,0,8.974517179
Virginia,5213,12/9/2020,139.1318175,23.9938572
Washington,2069,12/8/2020,19.7394394,19.23861822
West Virginia,848,12/8/2020,95.87727709,5.635701556
Wisconsin,9395,12/8/2020,76.93787267,14.75328016
Wyoming,,,,4.319587255
NATIONWIDE,,,70.59025489,43.11673657
